LinkID,FromNode,ToNode,Length,Kind,Width,Direction,Oneway,Pathpy
8584,5395,3492,0.014702,604,55,0,None,None
8593,5400,10370,0.118806,602,30,2,F,gong ren ti yu chang xi lu
8594,5400,3973,0.008462,604,30,0,None,None
8595,5401,108,0.061304,601,130,1,None,dong si bei da jie
8622,5418,6951,0.016325,404,55,2,F,None
8629,5424,649,0.031652,301,130,2,F,dong san huan bei lu
8630,5424,5069,0.032928,304,30,1,None,None
8637,5429,6193,0.019857,300,130,3,T,chao yang men qiao
8638,5429,5943,0.20013,301,55,2,F,chao yang men qiao
8664,5446,9599,0.128451,301,55,2,F,dong san huan bei lu
8665,5446,7711,0.125907,402,55,2,F,gong ren ti yu chang bei lu
8704,5474,4099,0.121456,601,30,2,F,gong ren ti yu chang xi lu
8705,5474,1796,0.047976,602,55,3,T,gong ren ti yu chang xi lu
8818,5554,10290,0.007333,604,55,3,T,None
8830,5561,7531,0.168554,602,55,3,T,None
9003,5672,9193,0.008772,604,30,0,None,None
9004,5672,2471,0.075667,602,55,2,F,jin bao jie
9042,5700,5429,0.071397,300,130,3,T,chao yang men qiao
9044,5702,1112,0.287088,601,55,0,None,ji shi kou dong lu
9107,5742,10624,0.46955,601,30,1,None,da fang jia hu tong
9108,5742,2980,0.233835,602,55,3,T,chao yang men nan xiao jie
9113,5745,8503,0.025763,602,55,2,F,jin tong dong lu
9114,5745,1215,0.013342,604,130,1,None,None
9117,5747,9281,0.113761,601,55,1,None,dong zong bu hu tong
9118,5747,1526,0.118683,301,55,2,F,jian guo men bei da jie
9135,5757,1672,0.083872,301,30,2,F,chao yang men bei da jie
9161,5774,1163,0.013679,604,30,1,None,None
9162,5774,1215,0.027982,602,55,3,T,jin tong dong lu
9258,5837,1025,0.048296,304,30,3,T,None
9259,5837,9599,0.076727,301,130,3,T,dong san huan bei lu
9338,5884,3780,0.012441,301,55,2,F,dong san huan bei lu
9360,5898,10525,0.00966,604,55,3,T,None
9361,5898,3487,0.010557,604,55,2,F,None
9429,5943,5096,0.462303,301,55,3,T,chao yang men qiao
9430,5943,4094,0.067004,301,55,2,F,chao yang men nan da jie
9431,5944,9123,0.084131,105,30,2,F,san huan
9432,5944,1271,0.253954,301,55,2,F,dong san huan bei lu
9484,5975,6857,0.050188,105,30,3,T,er huan
9499,5987,10794,0.127481,602,55,3,T,jin bao jie
9532,6006,6897,0.021771,102,55,3,T,san huan
9533,6006,10551,0.060112,105,30,2,F,san huan
9597,6050,706,0.359198,102,55,2,F,san huan
9598,6050,9123,0.055662,102,130,3,T,san huan
9612,6058,10298,0.158667,602,55,2,F,jin tong xi lu
9613,6058,10047,0.124258,601,55,1,None,None
9621,6064,8072,0.079319,601,130,1,None,dong si nan da jie
9622,6064,7321,0.011718,604,55,1,None,None
9637,6072,1826,0.064621,602,55,2,F,dong da qiao lu
9713,6121,5898,0.327436,601,55,2,F,chao yang men wai da jie
9732,6132,8344,0.076077,601,55,1,None,dong si bei da jie
9747,6144,3288,0.016445,300,130,2,F,dong si shi tiao qiao
9748,6144,2659,0.113514,402,55,2,F,dong si shi tiao
9806,6185,5421,0.048592,304,30,3,T,None
9818,6193,10476,0.014951,300,130,3,T,chao yang men qiao
9823,6196,9830,0.228749,602,55,3,T,chao wai shi chang jie
9824,6196,7143,0.254678,601,55,0,None,chao wai nan jie
9896,6238,2892,0.064089,601,55,0,None,None
9897,6238,3788,0.339803,601,55,3,T,chao wai tou tiao
9954,6272,4826,0.219578,602,55,3,T,guang hua lu
9955,6272,3802,0.17567,301,55,2,F,dong san huan zhong lu fu lu
9956,6272,1494,0.05019,304,55,2,F,None
9957,6275,6897,0.074397,105,55,2,F,san huan
9962,6278,2868,0.242682,601,55,0,None,chao wai nan jie
9963,6278,2931,0.229483,602,55,2,F,chao wai shi chang jie
9964,6278,6196,0.010521,604,55,0,None,None
9984,6290,3332,0.744692,601,30,1,None,nei wu bu jie
10008,6308,2341,0.011547,604,55,2,F,None
10009,6308,6702,0.013845,604,55,3,T,None
10034,6324,4104,0.016433,604,55,3,T,None
10035,6324,7669,0.013421,604,55,2,F,None
10050,6334,8363,0.169629,601,30,2,F,chao yang men wai da jie
10051,6334,268,0.012945,601,30,2,F,shen lu jie
10062,6343,8988,0.366356,601,55,1,None,chao wai nan jie
10076,6353,10717,0.167311,301,55,2,F,chao yang men nan da jie
10077,6353,9373,0.054827,105,30,3,T,er huan
10084,6360,4624,0.311552,602,55,2,F,dou ban hu tong
10085,6360,5044,0.010776,604,55,0,None,None
10111,6380,10665,0.272609,301,55,3,T,jian guo men bei da jie
10112,6380,531,0.084213,301,55,2,F,chao yang men nan da jie
10113,6380,3788,0.118966,601,55,1,None,ya bao lu
10236,6457,3682,0.120065,602,30,2,F,chao yang men bei xiao jie
10237,6457,4021,0.013253,604,30,0,None,None
10244,6462,9337,0.128176,302,55,2,F,chao yang men wai da jie
10245,6462,106,0.010715,604,30,1,None,None
10289,6489,6064,0.07465,601,130,1,None,dong si nan da jie
10290,6489,6827,0.013442,604,130,2,F,None
10308,6501,3908,0.051147,300,130,2,F,dong si shi tiao qiao
10330,6515,6450,0.080625,802,30,2,F,None
10407,6559,6185,0.035871,301,55,2,F,dong san huan bei lu
10417,6566,10463,0.134989,602,55,3,T,dong si bei da jie
10418,6566,8102,0.733252,402,130,2,F,dong si shi tiao
10419,6566,6951,0.008243,404,130,3,T,None
10454,6586,2208,0.186801,301,30,3,T,chao yang bei lu
10455,6586,1410,0.237103,302,55,2,F,chao yang bei lu
10456,6586,8779,0.387263,601,30,3,T,nan san li tun lu
10480,6601,649,0.529987,601,55,1,None,guan dong dian bei jie
10481,6601,9322,0.056408,601,55,1,None,nan san li tun lu
10579,6661,8933,0.046244,402,55,3,T,gong ren ti yu chang bei lu
10592,6670,2440,0.759318,601,55,1,None,xi zong bu hu tong
10593,6670,1471,0.077064,601,130,1,None,dong dan bei da jie
10633,6695,1353,0.114919,602,130,2,F,jin tong xi lu
10642,6702,9713,0.078405,601,55,1,None,guang hua lu
10643,6702,2341,0.014655,604,55,3,T,None
10644,6702,3977,0.262815,602,55,2,F,dong da qiao lu
10651,6707,1924,0.021429,301,55,3,T,dong san huan bei lu
10652,6707,8541,0.157472,302,55,2,F,chao yang bei lu
10653,6707,5069,0.052248,301,55,3,T,chao yang bei lu
10731,6754,5672,0.079857,602,55,2,F,jin bao jie
10732,6754,8665,0.009666,604,55,2,F,None
10733,6754,10060,0.010431,604,55,3,T,None
10766,6773,10463,0.077477,602,55,2,F,dong si bei da jie
10795,6791,672,0.026779,102,55,2,F,san huan
10796,6791,9861,0.072565,105,30,3,T,san huan
10853,6827,7972,0.100233,601,30,2,F,dong si nan da jie
10900,6857,10808,0.094544,102,55,3,T,er huan
10903,6859,4104,0.259947,602,55,2,F,chao yang men nan xiao jie
10904,6859,5742,0.314826,602,55,3,T,chao yang men nan xiao jie
10905,6859,4695,0.479569,601,55,1,None,nan zhu gan hu tong
10919,6867,9281,0.380253,601,55,0,None,yi hua hu tong
10920,6867,7271,0.144151,602,55,2,F,jin bao jie
10999,6917,8769,0.590548,601,55,0,None,None
11032,6939,6052,0.154701,301,55,2,F,guo mao qiao
11050,6951,6773,0.057075,602,55,2,F,dong si bei da jie
11275,7101,3169,0.120586,301,55,3,T,chao yang men wai da jie
11276,7101,9531,0.229787,601,55,1,None,jin hui lu
11318,7128,9861,0.146682,301,130,2,F,dong san huan zhong lu fu lu
11340,7143,9152,0.110018,601,30,3,T,shen lu jie
11341,7143,2558,0.227101,601,55,1,None,shen lu jie
11342,7143,2949,0.160079,601,55,1,None,chao wai nan jie
11343,7143,6334,0.104009,601,30,2,F,shen lu jie
11396,7171,6457,0.08537,602,55,2,F,chao yang men bei xiao jie
11397,7171,3539,0.524366,601,55,1,None,nan men cang hu tong
11398,7171,4021,0.085605,602,55,3,T,chao yang men bei xiao jie
11419,7185,2618,0.100524,602,55,2,F,jin tong dong lu
11431,7195,1147,0.065492,601,55,1,None,ya bao lu
11432,7195,8764,0.291728,601,55,0,None,None
11543,7264,4104,0.013678,604,55,2,F,None
11544,7264,9284,0.259054,602,55,2,F,chao yang men nan xiao jie
11558,7271,10717,0.01044,304,55,3,T,None
11559,7271,4141,0.148613,301,55,2,F,jian guo men bei da jie
11560,7272,10496,0.011235,304,130,2,F,None
11561,7272,1874,0.713177,601,55,2,F,chao yang lu
11562,7272,1061,0.051032,304,55,3,T,None
11570,7277,742,0.108899,402,130,3,T,nong zhan guan nan lu
11571,7277,7327,0.017543,404,30,1,None,None
11615,7304,9774,0.430365,601,55,1,None,tuan jie hu bei lu
11616,7304,7959,0.281247,601,55,1,None,tuan jie hu lu
11637,7321,6827,0.080752,601,30,2,F,dong si nan da jie
11647,7327,5090,0.108555,402,130,2,F,nong zhan guan nan lu
11673,7343,1011,0.865884,102,55,2,F,er huan
11674,7343,2188,0.128656,102,130,3,T,er huan
11675,7343,10261,0.067526,105,30,2,F,er huan
11759,7394,3610,0.159616,301,55,2,F,chao yang men bei da jie
11760,7394,4364,0.006932,602,55,3,T,chao wai bei jie
11780,7409,941,0.314702,102,130,3,T,er huan
11784,7411,7101,0.268877,301,55,3,T,chao yang men wai da jie
11787,7414,8676,0.071715,402,55,2,F,gong ren ti yu chang bei lu
11892,7479,1340,0.056093,601,55,1,None,ri tan bei lu
11893,7479,10687,0.416459,601,55,1,None,ri tan bei lu
11972,7531,9807,0.306906,602,55,3,T,None
12024,7563,4665,0.285578,402,55,3,T,gong ren ti yu chang bei lu
12025,7563,8933,0.014989,404,55,0,None,None
12035,7569,3104,0.057634,301,55,2,F,dong san huan bei lu
12036,7569,996,0.443565,601,55,1,None,hu jia lou bei jie
12037,7569,6917,0.072283,301,55,3,T,dong san huan bei lu
12049,7581,8048,0.251571,602,130,2,F,chao yang bei lu
12050,7581,9747,0.026423,604,55,2,F,None
12051,7581,4524,0.019852,604,130,3,T,None
12054,7584,1896,0.010517,604,55,1,None,None
12055,7584,10729,0.159383,602,55,2,F,chao yang men nan xiao jie
12093,7606,6308,0.01241,602,55,3,T,guang hua lu
12171,7664,6132,0.077296,601,55,1,None,dong si bei da jie
12172,7664,9510,0.745473,601,30,1,None,dong si san tiao
12181,7669,7264,0.016435,604,55,2,F,None
12182,7669,2714,0.484898,602,55,2,F,chao yang men nei da jie
12243,7710,8988,0.087497,602,55,2,F,dong da qiao lu
12244,7711,4363,0.014101,304,130,3,T,None
12293,7742,4091,0.052582,602,55,2,F,jin bao jie
12382,7794,3872,0.016874,304,130,3,T,None
12383,7794,3844,0.021276,302,55,2,F,chao yang men wai da jie
12384,7794,8357,0.01556,304,55,2,F,None
12404,7807,1336,0.017547,604,55,1,None,None
12447,7839,5837,0.361003,301,130,3,T,dong san huan bei lu
12452,7843,2648,0.01598,604,130,1,None,None
12463,7849,2529,0.005108,602,55,3,T,None
12475,7858,4354,0.238982,102,55,2,F,er huan
12476,7858,852,0.786452,102,55,3,T,er huan
12596,7925,4790,0.053183,601,55,1,None,dong zong bu hu tong
12611,7934,4133,0.008438,604,55,2,F,None
12623,7944,10476,0.019823,300,130,2,F,chao yang men qiao
12624,7944,4366,0.033875,300,130,3,T,chao yang men qiao
12625,7944,1822,0.003592,602,55,2,F,chao yang men nei da jie
12638,7952,4033,0.266692,402,55,3,T,gong ren ti yu chang bei lu
12639,7952,5702,0.279708,601,55,0,None,xin zhong jie
12651,7959,8170,0.255489,601,55,1,None,tuan jie hu lu
12652,7959,837,0.306052,601,55,1,None,yao jia yuan lu
12670,7972,464,0.092951,601,130,1,None,dong dan bei da jie
12710,7997,4151,0.010104,604,55,3,T,None
12711,7997,3887,0.009494,604,55,2,F,None
12712,7997,1807,0.171993,602,55,2,F,zhen zhi lu
12780,8039,8064,0.007884,604,55,3,T,None
12781,8039,2602,0.02884,802,30,3,T,None
12782,8040,2892,0.20017,601,55,1,None,xiu shui he hu tong
12794,8048,9262,0.439933,602,55,2,F,chao yang bei lu
12818,8060,10496,0.715187,302,55,3,T,chao yang lu
12819,8060,1874,0.008223,604,55,2,F,None
12825,8064,4041,0.029137,802,30,2,F,None
12826,8064,10351,0.384842,602,55,3,T,jin tong xi lu
12838,8072,7321,0.084799,601,30,2,F,dong si nan da jie
12839,8072,2674,0.075227,601,130,1,None,dong si nan da jie
12840,8072,4074,0.180121,601,55,1,None,gan mian hu tong
12846,8077,2882,0.079946,301,55,3,T,dong san huan bei lu
12879,8102,3191,0.014962,404,130,2,F,None
12921,8132,962,0.285457,601,30,3,T,nong zhan guan nan lu
12922,8132,10331,0.010992,604,30,0,None,None
12925,8134,2204,0.234547,601,55,3,T,xiu shui bei jie
12926,8134,1940,0.158666,601,55,1,None,jian hua lu
12961,8155,7742,0.355168,602,55,2,F,jin bao jie
12986,8170,8182,0.163219,601,55,1,None,tuan jie hu lu
13003,8182,1525,0.202531,601,55,1,None,tuan jie hu lu
13164,8283,4648,0.181399,601,55,1,None,shi jia hu tong
13165,8283,9217,0.047106,601,130,1,None,dong si nan da jie
13166,8283,2674,0.076904,601,130,1,None,dong si nan da jie
13233,8322,9633,0.08561,301,130,2,F,dong san huan zhong lu fu lu
13234,8322,1386,0.050465,304,30,1,None,None
13235,8322,1494,0.118947,301,30,2,F,dong san huan zhong lu fu lu
13266,8344,5401,0.084053,601,55,1,None,dong si bei da jie
13287,8357,3872,0.015438,304,130,2,F,None
13288,8357,7710,0.01466,602,55,2,F,dong da qiao lu
13297,8363,7710,0.360222,601,30,2,F,chao yang men wai da jie
13298,8363,6343,0.093973,601,130,1,None,fang cao di xi jie
13448,8458,4609,0.157892,601,130,1,None,dong si bei da jie
13449,8458,543,0.731089,601,30,1,None,dong si liu tiao
13450,8459,3288,0.110865,402,130,2,F,dong si shi tiao
13451,8459,8511,0.453911,602,55,3,T,dong men cang hu tong
13497,8489,2440,0.01009,604,55,0,None,None
13498,8489,5554,0.210897,602,55,3,T,chao yang men nan xiao jie
13499,8489,7925,0.336641,601,55,1,None,dong zong bu hu tong
13527,8511,10304,0.156597,602,55,3,T,nan men cang hu tong
13528,8511,3539,0.012723,604,55,2,F,None
13529,8511,4055,0.010215,604,55,3,T,None
13576,8541,2208,0.194067,302,55,2,F,chao yang bei lu
13577,8541,8077,0.531912,601,55,1,None,None
13674,8598,6193,0.154991,601,30,2,F,None
13675,8598,5561,0.078503,602,55,3,T,None
13725,8634,9067,0.010775,604,55,1,None,None
13726,8634,10238,0.187325,601,55,1,None,jin tong dong lu
13772,8665,9193,0.080204,602,55,3,T,jin bao jie
13773,8665,3754,0.065539,602,55,2,F,chao yang men nan xiao jie
13774,8665,8155,0.010089,604,55,2,F,None
13783,8671,6072,0.155891,602,55,2,F,dong da qiao lu
13784,8671,10298,0.269069,601,30,3,T,None
13789,8676,1196,0.112918,601,30,2,F,None
13790,8676,285,0.106334,402,55,2,F,gong ren ti yu chang bei lu
13805,8686,1696,0.189922,601,55,1,None,jing hua jie
13806,8686,1997,0.101555,301,55,2,F,dong san huan zhong lu fu lu
13921,8764,8792,0.062926,601,55,1,None,xiu shui he hu tong
13929,8769,6185,0.059293,301,55,3,T,dong san huan bei lu
13938,8778,1593,0.325502,601,55,1,None,jing hua bei jie
13939,8778,3134,0.191787,602,130,2,F,jin tong xi lu
13940,8778,8039,0.137979,602,55,3,T,jin tong xi lu
13941,8779,1141,0.156692,601,55,1,None,nan san li tun lu
13942,8780,854,0.169106,601,55,1,None,ri tan lu
13943,8780,8134,0.234563,601,55,3,T,xiu shui bei jie
13960,8792,3125,0.260987,601,55,0,None,chao wai er tiao dong xiang
13961,8793,2319,0.665391,601,55,1,None,jin tai xi lu
13970,8799,3813,0.404603,601,55,1,None,nan gong jiang ying hu tong
13971,8799,9615,0.069175,602,55,3,T,chao yang men bei xiao jie
14057,8856,3723,0.121634,402,55,2,F,gong ren ti yu chang bei lu
14163,8917,4386,0.012944,304,55,3,T,None
14164,8917,4724,0.32415,302,55,3,T,chao yang men wai da jie
14165,8917,10725,0.453067,302,55,2,F,chao yang men wai da jie
14188,8933,9100,0.047012,402,55,3,T,gong ren ti yu chang bei lu
14222,8954,10261,0.08384,301,55,3,T,chao yang men bei da jie
14237,8966,360,0.008446,602,55,3,T,None
14267,8984,8322,0.03331,301,130,2,F,dong san huan zhong lu fu lu
14273,8988,3693,0.165439,602,55,2,F,dong da qiao lu
14313,9018,137,0.009374,604,55,0,None,None
14314,9018,6489,0.229229,602,55,2,F,jin bao jie
14390,9067,9585,0.021432,602,55,3,T,jin tong dong lu
14391,9067,1708,0.095854,601,55,1,None,jing mao jie
14444,9100,2171,0.064886,402,55,3,T,gong ren ti yu chang bei lu
14445,9100,2172,0.014106,404,55,0,None,None
14460,9108,2797,0.270428,601,55,1,None,ji shi kou lu
14461,9108,1519,0.220414,302,130,2,F,chao yang men wai da jie
14484,9123,6006,1.119827,102,55,3,T,san huan
14524,9152,6334,0.039058,604,30,2,F,None
14525,9152,2710,0.012218,601,30,3,T,shen lu jie
14569,9180,2172,0.219761,402,55,3,T,gong ren ti yu chang bei lu
14570,9180,1132,0.276483,602,55,2,F,gong ren ti yu chang dong lu
14588,9193,3130,0.075672,602,55,3,T,jin bao jie
14629,9217,6290,0.03254,601,55,1,None,dong si nan da jie
14645,9228,10290,0.011213,604,55,2,F,None
14646,9228,5554,0.011332,604,55,3,T,None
14653,9232,10463,0.006255,601,55,1,None,dong si bei da jie
14672,9244,5232,0.249825,601,30,2,F,gong ren ti yu chang xi lu
14673,9244,1653,0.004274,604,130,1,None,None
14705,9262,5138,0.023097,301,55,2,F,dong san huan bei lu
14706,9262,6707,0.046064,304,55,2,F,None
14733,9284,6859,0.013452,604,55,0,None,None
14734,9284,3332,0.315706,602,55,2,F,chao yang men nan xiao jie
14763,9304,312,0.029349,402,55,3,T,gong ren ti yu chang bei lu
14795,9322,6586,0.014657,304,55,1,None,None
14799,9326,3380,0.195076,601,55,1,None,gong ren ti yu chang nan lu
14800,9326,3973,0.184873,602,55,2,F,gong ren ti yu chang xi lu
14815,9337,106,0.13072,601,30,3,T,chao yang men wai da jie
14816,9337,1467,0.01445,304,55,3,T,None
14817,9337,4341,0.009214,304,55,2,F,None
14865,9368,3288,0.053622,300,130,3,T,dong si shi tiao qiao
14866,9368,6501,0.067371,300,55,2,F,dong si shi tiao qiao
14867,9368,10661,0.198227,301,55,2,F,chao yang men bei da jie
14939,9410,1822,0.153613,601,30,3,T,None
14978,9435,660,0.089702,602,55,3,T,wai jiao bu nan jie
14979,9435,6884,0.009573,604,30,0,None,None
15006,9452,854,0.25505,601,55,1,None,ri tan lu
15007,9452,10687,0.236753,601,55,1,None,ri tan lu
15098,9510,7669,0.239948,602,30,2,F,chao yang men bei xiao jie
15130,9531,3169,0.12467,601,55,1,None,jing hua bei jie
15131,9531,2099,0.13628,601,55,1,None,jing hua bei jie
15132,9531,10047,0.234158,601,55,1,None,jin hui lu
15140,9536,8048,0.013883,604,55,1,None,None
15141,9536,3104,0.440621,602,55,3,T,chao yang bei lu
15142,9536,996,0.060989,601,55,1,None,tuan jie hu lu
15167,9552,4019,0.10362,601,55,1,None,None
15179,9560,8780,0.539292,601,55,1,None,xiu shui bei jie
15180,9560,854,0.366171,601,55,1,None,guang hua lu
15222,9585,8685,0.112378,604,55,3,T,None
15242,9599,7711,0.008217,301,130,3,T,dong san huan bei lu
15267,9615,6324,0.01688,602,55,3,T,chao yang men bei xiao jie
15276,9623,6754,0.16267,602,55,2,F,chao yang men nan xiao jie
15294,9633,6272,0.011885,304,130,2,F,None
15295,9633,2525,0.049934,304,55,3,T,None
15296,9633,2551,0.142984,301,55,3,T,dong san huan zhong lu fu lu
15356,9671,5347,0.138308,402,55,2,F,nong zhan guan nan lu
15357,9671,5884,0.013213,304,55,2,F,None
15358,9671,7711,0.047868,304,55,3,T,None
15365,9678,10514,0.12036,602,55,3,T,jin tong dong lu
15421,9713,793,0.237112,601,55,1,None,guang hua lu
15476,9747,9536,0.227401,602,130,3,T,chao yang bei lu
15477,9747,8793,0.061825,602,55,2,F,jin tai xi lu
15521,9774,1025,0.089277,301,55,2,F,dong san huan bei lu
15575,9807,4152,0.302715,601,30,1,None,xiao pai fang hu tong
15591,9818,4386,0.321104,302,55,3,T,chao yang men wai da jie
15592,9818,4724,0.012441,304,130,3,T,None
15609,9830,2931,0.01151,604,55,0,None,None
15610,9830,10687,0.299119,602,55,3,T,chao wai shi chang jie
15654,9861,8686,0.066679,301,130,2,F,dong san huan zhong lu fu lu
15862,9996,3434,0.138019,602,55,3,T,guang hua lu
15940,10046,7414,0.071117,402,55,2,F,gong ren ti yu chang bei lu
15941,10047,6072,0.144245,601,55,1,None,None
15942,10047,1849,0.006773,601,55,1,None,None
15951,10054,3127,0.733594,402,55,2,F,dong si shi tiao
15952,10054,8102,0.014438,404,55,2,F,None
15953,10054,1319,0.015302,404,55,3,T,None
15959,10060,1090,0.355165,602,55,3,T,jin bao jie
15960,10060,8155,0.00966,604,55,3,T,None
16006,10088,2882,0.073432,105,30,3,T,san huan
16007,10088,6791,1.166674,102,55,2,F,san huan
16035,10105,8799,0.255668,602,55,3,T,chao yang men bei xiao jie
16061,10120,7128,0.06331,301,130,2,F,dong san huan zhong lu fu lu
16062,10120,1061,0.027885,301,130,3,T,dong san huan zhong lu fu lu
16065,10122,7807,0.036846,602,55,2,F,dong si xi da jie
16090,10139,8459,0.010684,404,130,2,F,None
16091,10139,3539,0.460681,602,55,2,F,dong men cang hu tong
16138,10174,9018,0.203573,602,55,2,F,jin bao jie
16231,10238,1288,0.01267,604,55,3,T,None
16232,10238,4019,0.165041,602,55,3,T,guang hua lu
16250,10250,7128,0.30824,601,55,1,None,zhao feng jie
16251,10250,8503,0.18777,602,55,3,T,jin tong dong lu
16276,10265,4624,0.087852,601,30,3,T,None
16277,10265,685,0.242625,602,55,2,F,chao yang men nei da jie
16326,10298,6695,0.14179,602,55,2,F,jin tong xi lu
16334,10304,2811,0.010997,304,55,2,F,None
16379,10331,2160,0.022161,404,30,2,F,None
16380,10331,5347,0.021464,404,30,3,T,None
16381,10331,5884,0.153004,402,130,2,F,nong zhan guan nan lu
16412,10351,9996,0.115254,602,55,3,T,jin tong xi lu
16413,10351,6695,0.014966,604,55,0,None,None
16567,10452,3908,0.014709,300,130,3,T,dong si shi tiao qiao
16582,10460,8503,0.013681,604,30,1,None,None
16597,10469,6884,0.13212,602,55,2,F,wai jiao bu nan jie
16608,10476,490,0.186193,602,55,3,T,chao yang men nei da jie
16639,10496,9818,0.050749,304,55,3,T,None
16640,10496,6559,0.012214,304,130,2,F,None
16655,10508,9774,0.268287,301,55,2,F,dong san huan bei lu
16665,10514,9585,0.010092,604,30,1,None,None
16666,10514,8634,0.021432,602,55,3,T,jin tong dong lu
16685,10525,8917,0.011175,304,55,3,T,None
16686,10525,10725,0.453471,302,55,3,T,chao yang men wai da jie
16725,10551,6275,0.153151,301,55,3,T,dong san huan zhong lu fu lu
16829,10618,9633,0.12655,602,55,3,T,guang hua lu
16836,10624,9807,0.009532,604,30,1,None,None
16877,10652,7849,0.011145,604,30,2,F,None
16878,10652,2923,0.076846,602,55,3,T,None
16897,10661,5109,0.080197,301,55,2,F,chao yang men bei da jie
16904,10665,9560,0.120763,601,55,2,F,guang hua lu
16905,10665,5975,0.116728,301,55,3,T,jian guo men bei da jie
16983,10714,9281,0.081584,601,55,1,None,dong zong bu hu tong
16996,10725,345,0.115959,601,55,2,F,chao yang men wai da jie
16997,10725,7411,0.207484,301,130,3,T,chao yang men wai da jie
17004,10729,2440,0.078932,602,55,2,F,chao yang men nan xiao jie
17005,10729,1471,0.756421,601,55,1,None,wai jiao bu jie
17036,10748,2694,0.053998,301,55,2,F,chao yang men bei da jie
17110,10794,10717,0.141929,602,55,3,T,jin bao jie
